Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_356.jpg;0;0;0.6956978;2.820146;112.6886;40.98249;359.9044;269.2541;0.06413169
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_423.jpg;0;0;0.8974885;2.669771;112.6855;40.84079;359.0606;269.2186;0.02152672
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_489.jpg;0;0;1;2.43615;112.6833;40.70985;358.1967;269.1841;359.9903
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_556.jpg;0;0;1;2.312776;112.681;40.5418;357.2968;269.2046;359.9937
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_623.jpg;0;0;1;2.190706;112.6796;40.41938;356.9089;269.2411;0.01952817
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_689.jpg;0;0;1;2.031235;112.6773;40.30061;356.7393;269.251;359.9869
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_757.jpg;0;0;1;1.907416;112.6752;40.14757;356.8762;269.2615;359.9924
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_822.jpg;0;0;1;1.783841;112.6737;40.03734;357.2068;269.257;359.99
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_889.jpg;0;0;1;1.623604;112.6722;39.9307;357.7495;269.2675;359.9916
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_963.jpg;0;0;1;1.503273;112.6704;39.79416;358.7781;269.2899;0.00300738
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_024.jpg;0;0;1;1.315371;112.6691;39.71324;359.2137;269.2924;0.005050652
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_089.jpg;0;0;1;0.9418136;112.6682;39.65855;359.0874;269.2868;-0.002792806
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_157.jpg;0;0;1;0.6993076;112.6677;39.61725;358.3857;269.4352;-0.003502564
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_223.jpg;0;0;1;0.4940239;112.6681;39.60241;357.7886;269.5419;0.003421472
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_289.jpg;0;0;1;0.1820423;112.6681;39.60199;357.1988;269.5503;0.005118078
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_357.jpg;0;0;1;0.09566159;112.6682;39.60181;356.8356;269.5572;0.0004103937
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_423.jpg;0;0;1;0.02248655;112.6683;39.60168;356.9039;269.5689;0.009838608
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_490.jpg;0;0;1;-0.09090847;112.6682;39.60157;357.2644;269.5651;-0.004748666
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_557.jpg;0;0;1;-0.1868706;112.6683;39.60154;358.1865;269.576;359.9872
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_623.jpg;0;0;1;-0.2684297;112.6683;39.60174;359.1587;269.5771;0.0003696302
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_689.jpg;0;0;1;-0.2816318;112.6683;39.60213;0.1038202;269.5771;0.0007125616
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_757.jpg;0;0;1;-0.2442193;112.6683;39.60252;1.175642;269.5793;0.0008569113
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_823.jpg;0;0;1;-0.1963616;112.6684;39.60275;1.735605;269.5794;0.00379265
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_889.jpg;0;0;1;-0.07685678;112.6683;39.60291;2.005284;269.5821;359.9835
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_30_956.jpg;0;0;1;0;112.6683;39.60311;1.859289;269.5779;0.0039079
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_024.jpg;0;0;1;0.1048431;112.6675;39.6032;1.388736;269.577;359.9937
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_090.jpg;0;0;1;0.1745162;112.6677;39.60308;0.8014277;269.5762;0.06590418
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_157.jpg;0;0;1;0.1666748;112.6676;39.60283;0.0644163;269.5769;0.1434514
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_223.jpg;0;0;1;0.1562086;112.6676;39.60263;359.5555;269.5785;0.1923609
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_290.jpg;0;0;1;0.1257279;112.6667;39.60245;359.1378;269.5793;0.1625534
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_357.jpg;0;0;1;0.1018551;112.6659;39.60226;358.722;269.578;0.06252539
